id,geometry
0,"[(3372.0, 2764.0), (3480.0, 2764.0), (3480.0, 2861.0), (3372.0, 2861.0)]"
1,"[(3485.0, 3150.0), (3628.0, 3150.0), (3628.0, 3269.0), (3485.0, 3269.0)]"
2,"[(3654.0, 3213.0), (3721.0, 3213.0), (3721.0, 3362.0), (3654.0, 3362.0)]"
3,"[(3881.0, 3412.0), (4006.0, 3412.0), (4006.0, 3518.0), (3881.0, 3518.0)]"
4,"[(3997.0, 3426.0), (4083.0, 3426.0), (4083.0, 3544.0), (3997.0, 3544.0)]"
5,"[(4257.0, 3162.0), (4355.0, 3162.0), (4355.0, 3267.0), (4257.0, 3267.0)]"
6,"[(3772.0, 3636.0), (3898.0, 3636.0), (3898.0, 3730.0), (3772.0, 3730.0)]"
7,"[(4628.0, 3581.0), (4775.0, 3581.0), (4775.0, 3726.0), (4628.0, 3726.0)]"
8,"[(4425.0, 3512.0), (4528.0, 3512.0), (4528.0, 3632.0), (4425.0, 3632.0)]"
9,"[(4508.0, 3401.0), (4608.0, 3401.0), (4608.0, 3510.0), (4508.0, 3510.0)]"
10,"[(4317.0, 2921.0), (4428.0, 2921.0), (4428.0, 3062.0), (4317.0, 3062.0)]"
11,"[(3623.0, 2186.0), (3708.0, 2186.0), (3708.0, 2282.0), (3623.0, 2282.0)]"
12,"[(4315.0, 2378.0), (4448.0, 2378.0), (4448.0, 2532.0), (4315.0, 2532.0)]"
13,"[(4671.0, 2166.0), (4806.0, 2166.0), (4806.0, 2275.0), (4671.0, 2275.0)]"
14,"[(4766.0, 2152.0), (4866.0, 2152.0), (4866.0, 2247.0), (4766.0, 2247.0)]"
15,"[(4843.0, 2127.0), (4929.0, 2127.0), (4929.0, 2224.0), (4843.0, 2224.0)]"
16,"[(4875.0, 2275.0), (4981.0, 2275.0), (4981.0, 2361.0), (4875.0, 2361.0)]"
17,"[(4180.0, 3566.0), (4286.0, 3566.0), (4286.0, 3687.0), (4180.0, 3687.0)]"
18,"[(4241.0, 3561.0), (4355.0, 3561.0), (4355.0, 3690.0), (4241.0, 3690.0)]"
19,"[(4225.0, 2716.0), (4394.0, 2716.0), (4394.0, 2878.0), (4225.0, 2878.0)]"
20,"[(4435.0, 2906.0), (4581.0, 2906.0), (4581.0, 3096.0), (4435.0, 3096.0)]"
21,"[(4591.0, 3266.0), (4769.0, 3266.0), (4769.0, 3492.0), (4591.0, 3492.0)]"
22,"[(4029.0, 2490.0), (4155.0, 2490.0), (4155.0, 2615.0), (4029.0, 2615.0)]"
23,"[(3872.0, 2541.0), (4031.0, 2541.0), (4031.0, 2719.0), (3872.0, 2719.0)]"
24,"[(3728.0, 1961.0), (3903.0, 1961.0), (3903.0, 2113.0), (3728.0, 2113.0)]"
25,"[(3783.0, 1792.0), (3869.0, 1792.0), (3869.0, 1910.0), (3783.0, 1910.0)]"
26,"[(3649.0, 1839.0), (3828.0, 1839.0), (3828.0, 1966.0), (3649.0, 1966.0)]"
27,"[(3495.0, 1884.0), (3661.0, 1884.0), (3661.0, 2029.0), (3495.0, 2029.0)]"
28,"[(3592.0, 2013.0), (3735.0, 2013.0), (3735.0, 2167.0), (3592.0, 2167.0)]"
29,"[(3606.0, 2253.0), (3877.0, 2253.0), (3877.0, 2519.0), (3606.0, 2519.0)]"
